beer_name,brewery_name,beer_type,beer_abv,beer_ibu,comment,venue_name,venue_city,venue_state,venue_country,venue_lat,venue_lng,rating_score,created_at,checkin_url,beer_url,brewery_url,brewery_country,brewery_city,brewery_state,flavor_profiles,purchase_venue,serving_type,checkin_id,bid,brewery_id,photo_url,global_rating_score,global_weighted_rating_score,tagged_friends,total_toasts,total_comments
"DRY JANUARY? DEFINITELY NOT THIS YEAR.","Evil Twin Brewing NYC","IPA - Imperial / Double New England / Hazy",8,0,,"Untappd at Home",,NC,"United States",34.2347,-77.9482,4.5,"2021-02-03 09:10:51",https://api.untappd.com/c/992608942,https://api.untappd.com/beer/4131797,https://api.untappd.com/brewery/420055,"United States",Ridgewood,NY,,,Can,992608942,4131797,420055,,4.23,4.03,,1,0
"I ALMOST HAD A PANIC ATTACK BECAUSE IT’S TOO QUIET IN TIMES SQUARE","Evil Twin Brewing NYC","IPA - Triple New England / Hazy",11,0,,"Untappd at Home",,NC,"United States",34.2347,-77.9482,4,"2021-02-05 20:53:40",https://api.untappd.com/c/993412441,https://api.untappd.com/beer/4139501,https://api.untappd.com/brewery/420055,"United States",Ridgewood,NY,,,Can,993412441,4139501,420055,,4.26,3.99,,0,0
"Super Mantis","Nod Hill Brewery","IPA - Imperial / Double",8.7,0,,"Untappd at Home",,NC,"United States",34.2347,-77.9482,4,"2021-02-05 20:53:56",https://api.untappd.com/c/993412593,https://api.untappd.com/beer/2358483,https://api.untappd.com/brewery/367630,"United States",Ridgefield,CT,,,Can,993412593,2358483,367630,,3.86,3.86,,1,0
Pipe,"American Solera","IPA - American",6.5,0,,,,,,,,4.5,"2021-02-05 20:54:07",https://api.untappd.com/c/993412708,https://api.untappd.com/beer/4018200,https://api.untappd.com/brewery/262817,"United States",Tulsa,OK,,,Can,993412708,4018200,262817,,3.76,3.75,,0,0
"Indiana Bones & The Kibble Of Doom","KCBC - Kings County Brewers Collective","IPA - American",7.2,0,,"Untappd at Home",,NC,"United States",34.2347,-77.9482,3.5,"2021-02-05 20:54:55",https://api.untappd.com/c/993413193,https://api.untappd.com/beer/4142356,https://api.untappd.com/brewery/167520,"United States",Brooklyn,NY,,,Can,993413193,4142356,167520,https://untappd.s3.amazonaws.com/photos/2021_02_06/063e0290d16be77503ec76b3190ffac7_raw.jpg,4.01,3.96,,0,0
"DDH Terpy Citra","American Solera","IPA - Imperial / Double New England / Hazy",8,0,,"Untappd at Home",,NC,"United States",34.2347,-77.9482,4,"2021-02-06 20:39:17",https://api.untappd.com/c/994047195,https://api.untappd.com/beer/4110678,https://api.untappd.com/brewery/262817,"United States",Tulsa,OK,,,Can,994047195,4110678,262817,,4.18,4.08,,0,0
"Royal Coconut Cream Ale","Rare Form Brewing Company","Cream Ale",6.8,24,,"Untappd at Home",,NC,"United States",34.2347,-77.9482,4,"2021-02-07 22:56:49",https://api.untappd.com/c/994583870,https://api.untappd.com/beer/696903,https://api.untappd.com/brewery/124691,"United States",Troy,NY,,,Can,994583870,696903,124691,,3.55,3.57,,1,0
"DDH Double Space Cut","Other Half Brewing Co.","IPA - Imperial / Double",8,0,,"Untappd at Home",,NC,"United States",34.2347,-77.9482,4,"2021-02-10 23:13:54",https://api.untappd.com/c/995054138,https://api.untappd.com/beer/4156562,https://api.untappd.com/brewery/94785,"United States",Brooklyn,NY,,,Can,995054138,4156562,94785,,4.19,4.14,,0,0
"The Sky Above","King's Court Brewing Company","IPA - New England / Hazy",7.8,0,,"Untappd at Home",,NC,"United States",34.2347,-77.9482,4,"2021-02-10 23:14:10",https://api.untappd.com/c/995054168,https://api.untappd.com/beer/4105353,https://api.untappd.com/brewery/404176,"United States",Poughkeepsie,NY,,,Can,995054168,4105353,404176,,3.86,3.74,,0,0
"Big Little Thing IPA","Sierra Nevada Brewing Co.","IPA - Imperial / Double",9,45,,"Untappd at Home",,NC,"United States",34.2347,-77.9482,3.25,"2021-02-12 08:50:11",https://api.untappd.com/c/995314883,https://api.untappd.com/beer/4005175,https://api.untappd.com/brewery/1142,"United States",Chico,CA,,,Can,995314883,4005175,1142,,3.75,3.75,,0,0
